-----------------------------------
Time profiling for the matrix inverse function:
Forward elimination: 0.44s (64.71%)
Backward elimination: 0.24s (35.29%)
Inverse function total: 0.68s (1)
-----------------------------------
Total time for the direct method: 15.38s
Result x is: Matrix [1000][1]:
	[ ,0]	
[694, ]	-0.0001555 	
[695, ]	0.0006048 	
[696, ]	0.0001167 	
[697, ]	8.779e-05 	
[698, ]	0.0009076 	
[699, ]	0.0001303 	
[700, ]	-0.0002441 	
[701, ]	0.001291 	
[702, ]	0.001313 	
[703, ]	0.0005435 	
[704, ]	0.001166 	
[705, ]	0.001259 	
[706, ]	0.001427 	
[707, ]	-0.0004798 	
[708, ]	-2.014e-05 	
[709, ]	-7.673e-05 	
[710, ]	-0.0002935 	
[711, ]	-0.000311 	
[712, ]	-0.0004442 	
[713, ]	0.0003235 	
[714, ]	0.001194 	
[715, ]	0.001316 	
[716, ]	-9.35e-05 	
[717, ]	-6.926e-05 	
[718, ]	-0.0004918 	
[719, ]	0.001214 	
[720, ]	0.0009182 	
[721, ]	-0.0003294 	
[722, ]	0.001402 	
[723, ]	4.658e-05 	
[724, ]	0.001122 	
[725, ]	0.0006934 	
[726, ]	-0.0002507 	
[727, ]	-4.49e-05 	
[728, ]	-0.0003394 	
[729, ]	0.001175 	
[730, ]	0.000861 	
[731, ]	0.0007005 	
[732, ]	0.0008398 	
[733, ]	0.00131 	
[734, ]	0.001002 	
[735, ]	0.000192 	
[736, ]	-0.0004179 	
[737, ]	0.0004081 	
[738, ]	0.0001935 	
[739, ]	-0.0005068 	
[740, ]	0.0003067 	
[741, ]	0.001295 	
[742, ]	-0.0001282 	
[743, ]	0.0002105 	
[744, ]	0.001042 	
[745, ]	-0.0001195 	
[746, ]	0.0002346 	
[747, ]	-6.36e-05 	
[748, ]	0.001336 	
[749, ]	0.001492 	
[750, ]	0.00135 	
[751, ]	0.001529 	
[752, ]	0.0005501 	
[753, ]	0.0004771 	
[754, ]	0.001255 	
[755, ]	-0.0004344 	
[756, ]	0.0006866 	
[757, ]	0.0004913 	
[758, ]	0.0003166 	
[759, ]	-0.0002644 	
[760, ]	0.0005131 	
[761, ]	0.001173 	
[762, ]	-0.0003947 	
[763, ]	-0.0004375 	
[764, ]	0.0004969 	
[765, ]	0.0004548 	
[766, ]	0.0007546 	
[767, ]	-5.093e-05 	
[768, ]	-0.0004607 	
[769, ]	-0.000386 	
[770, ]	0.0005649 	
